timestamp,source,symbol,data_type,bids,asks,bid_volume,ask_volume,price,bid,ask,volume,quote_volume,high_24h,low_24h,price_change_24h,price_acceleration,volume_anomaly,instrument,strike,expiry,type,open_interest,iv,mark
2025-07-10 08:57:28.544264+00:00,binance,BTCUSDT,orderbook,"[['111240.49000000', '6.08678000'], ['111240.48000000', '0.00040000'], ['111240.40000000', '0.00010000'], ['111240.39000000', '0.11195000'], ['111240.38000000', '0.00254000'], ['111240.19000000', '0.00005000'], ['111240.02000000', '0.00010000'], ['111240.01000000', '0.84987000'], ['111240.00000000', '0.47897000'], ['111239.99000000', '0.10015000']]","[['111240.50000000', '3.91845000'], ['111240.51000000', '0.00065000'], ['111240.57000000', '0.00144000'], ['111241.55000000', '0.00010000'], ['111241.56000000', '0.08542000'], ['111241.57000000', '0.00010000'], ['111241.58000000', '0.13545000'], ['111242.29000000', '0.00005000'], ['111242.73000000', '0.01062000'], ['111243.40000000', '0.00005000']]",7.63091,4.152329999999999,,,,,,,,,,,,,,,,,
2025-07-10 08:57:28.638363+00:00,binance,ETHUSDT,spot,,,,,2788.33,2788.32,2788.33,847362.1018,2313519544.589943,2823.18,2604.37,6.629,,,,,,,,,
2025-07-10 08:57:28.731284+00:00,binance,ETHUSDT,orderbook,"[['2788.32000000', '20.81400000'], ['2788.31000000', '0.00590000'], ['2788.30000000', '0.00380000'], ['2788.29000000', '0.36420000'], ['2788.28000000', '0.00590000'], ['2788.27000000', '0.00190000'], ['2788.26000000', '0.00380000'], ['2788.25000000', '1.45870000'], ['2788.24000000', '0.00550000'], ['2788.23000000', '0.00380000']]","[['2788.33000000', '89.83540000'], ['2788.34000000', '0.40250000'], ['2788.35000000', '0.06990000'], ['2788.36000000', '0.00380000'], ['2788.37000000', '0.00190000'], ['2788.38000000', '0.00760000'], ['2788.39000000', '0.00750000'], ['2788.40000000', '5.14530000'], ['2788.41000000', '0.00550000'], ['2788.42000000', '0.00380000']]",22.667499999999997,95.48320000000001,,,,,,,,,,,,,,,,,
2025-07-10 08:57:29.827879+00:00,binance,BTCUSDT,spot,,,,,111240.49,111240.49,111240.5,18771.27551,2073222832.4488742,111999.79,108503.0,2.353,,,,,,,,,
2025-07-10 08:57:29.922554+00:00,binance,BTCUSDT,orderbook,"[['111240.49000000', '5.98960000'], ['111240.48000000', '0.00040000'], ['111240.40000000', '0.00010000'], ['111240.39000000', '0.11195000'], ['111240.38000000', '0.00254000'], ['111240.19000000', '0.00005000'], ['111240.02000000', '0.00010000'], ['111240.01000000', '0.84987000'], ['111240.00000000', '0.47897000'], ['111239.99000000', '0.10015000']]","[['111240.50000000', '3.91841000'], ['111240.51000000', '0.00070000'], ['111240.57000000', '0.00144000'], ['111241.55000000', '0.00010000'], ['111241.56000000', '0.08542000'], ['111241.57000000', '0.00010000'], ['111241.58000000', '0.13545000'], ['111241.89000000', '0.01527000'], ['111242.29000000', '0.00005000'], ['111242.73000000', '0.01062000']]",7.53373,4.16756,,,,,,,,,,,,,,,,,
2025-07-10 08:57:30.027387+00:00,binance,ETHUSDT,spot,,,,,2788.32,2788.32,2788.33,847362.0548,2313519423.41911,2823.18,2604.37,6.628,,,,,,,,,
2025-07-10 08:57:30.120190+00:00,binance,ETHUSDT,orderbook,"[['2788.32000000', '57.50300000'], ['2788.31000000', '0.00780000'], ['2788.30000000', '0.37260000'], ['2788.29000000', '0.00550000'], ['2788.28000000', '0.00590000'], ['2788.27000000', '0.00190000'], ['2788.26000000', '0.00380000'], ['2788.25000000', '1.46080000'], ['2788.24000000', '0.00550000'], ['2788.23000000', '0.00380000']]","[['2788.33000000', '71.62360000'], ['2788.34000000', '0.00400000'], ['2788.35000000', '0.00190000'], ['2788.36000000', '0.00380000'], ['2788.37000000', '0.00190000'], ['2788.38000000', '0.00760000'], ['2788.39000000', '0.00960000'], ['2788.40000000', '5.14530000'], ['2788.41000000', '0.00550000'], ['2788.42000000', '0.00380000']]",59.37059999999999,76.80700000000002,,,,,,,,,,,,,,,,,
2025-07-10 08:57:31.225996+00:00,binance,BTCUSDT,spot,,,,,111240.49,111240.49,111240.5,18771.36883,2073233241.8773627,111999.79,108503.0,2.353,,,,,,,,,
2025-07-10 08:57:31.318121+00:00,binance,BTCUSDT,orderbook,"[['111240.49000000', '5.98483000'], ['111240.48000000', '0.00040000'], ['111240.40000000', '0.00010000'], ['111240.39000000', '0.11195000'], ['111240.38000000', '0.00254000'], ['111240.19000000', '0.00005000'], ['111240.02000000', '0.00010000'], ['111240.01000000', '0.84987000'], ['111240.00000000', '0.47897000'], ['111239.99000000', '0.10015000']]","[['111240.50000000', '3.91974000'], ['111240.51000000', '0.00070000'], ['111240.57000000', '0.00144000'], ['111241.55000000', '0.00010000'], ['111241.56000000', '0.08542000'], ['111241.57000000', '0.00010000'], ['111241.58000000', '0.13545000'], ['111241.89000000', '0.01527000'], ['111242.29000000', '0.00005000'], ['111242.73000000', '0.01062000']]",7.52896,4.16889,,,,,,,,,,,,,,,,,
2025-07-10 08:57:31.413160+00:00,binance,ETHUSDT,spot,,,,,2788.32,2788.32,2788.33,847362.0201,2313519333.285612,2823.18,2604.37,6.628,,,,,,,,,
